au_id,au_tl,au_ar,au_sh,sh_ar,date,cit,bio,incrp
223,Abū al-Ḥasan ʿAlī b. ʿUmar b. Aḥmad b. Mahdī b. Maʿsūd b. al-Nuʿmān b. Dīnār al-Baghdādī al-Dāraqūṭnī (d. 385 AH),أبو الحسن علي بن عمر بن أحمد بن مهدي بن مسعود بن النعمان بن دينار البغدادي الدارقطني (ت ٣٨٥هـ),al-Dāraquṭnī,الدارقطني,385,-,-,-
225,"Abū Bakr b. Abī Shayba, ʿAbd Allāh b. Muḥammad b. Ibrāhīm b. ʿUthmān b. Khawāstī al-ʿAbasī (d. 235 AH)","أبو بكر بن أبي شيبة، عبد الله بن محمد بن إبراهيم بن عثمان بن خواستي العبسي (ت ٢٣٥هـ)",Abū Bakr b. Abī Shayba,أبو بكر بن أبي شيبة,235,-,-,-
226,"Ḥamza b. Muḥammad b. ʿAlī b. al-ʿAbbās, Abū al-Qāsim al-Kinānī al-Miṣrī (d. 357 AH)","حمزة بن محمد بن علي بن العباس، أبو القاسم الكناني المصري (ت ٣٥٧هـ)","al-Kinānī, Abū al-Qāsim","الكناني، أبو القاسم",357,-,-,-
227,al-Ḥārith b. Abī Usāma (186 AH),الحارث بن أبي أسامة (١٨٦,al-Ḥārith b. Abī Usāma,الحارث بن أبي أسامة,282,-,-,-
230,"Abū Bakr b. Abī ʿĀṣim, Aḥmad b. ʿAmr b. al-Ḍaḥḥāk b. Mukhallad al-Shaybānī (d. 287 AH)",أبو بكر بن أبي عاصم وهو أحمد بن عمرو بن الضحاك بن مخلد الشيباني (ت ٢٨٧هـ),Ibn Abī ʿĀṣim,ابن أبي عاصم,287,-,-,-
231,Abū ʿAbd Allāh Muḥammad b. ʿAbd Allāh al-Ḥākim al-Naysābūrī (d. 321 AH),أبو عبد الله محمد بن عبد الله الحاكم النيسابوري (٣٢١,Abū ʿAbd Allāh al-Ḥākim,أبو عبد الله الحاكم,405,-,-,-
232,"Sulaymān b. Aḥmad b. Ayyūb b. Muṭayr al-Lakhmī al-Shāmī, Abū al-Qāsim al-Ṭabarānī (d. 360 AH)","سليمان بن أحمد بن أيوب بن مطير اللخمي الشامي، أبو القاسم الطبراني (ت ٣٦٠هـ)",al-Ṭabarānī,الطبراني,360,-,-,-
234,"Abū Yaʿlā Aḥmad b. ʿAlī b. al-Muthannā b. Yaḥyā b. ʿĪsā b. Hilāl al-Tamīmī, al-Mawṣilī (d. 307 AH)","أبو يعلى أحمد بن علي بن المثُنى بن يحيى بن عيسى بن هلال التميمي، الموصلي (ت ٣٠٧ هـ)",Abū Yaʿlā al-Mawṣilī,أبو يعلى الموصلي,307,-,-,-
235,Ibn Ḥibbān,ابن حبان,Ibn Ḥibbān,ابن حبان,354,-,-,-
236,"Imām al-Aʾimma, Abū Bakr Muḥammad b. Isḥāq b. Khuzayma al-Sulamī al-Naysābūrī (born 223 AH)","إمام الأئمة، أبو بكر محمد بن إسحاق بن خزيمة السلمي النيسابوري (ولد ٢٢٣",Ibn Khuzayma,ابن خزيمة,311,-,-,-
239,Abū Nuʿaym Aḥmad b. ʿAbd Allāh b. Aḥmad b. Isḥāq b. Mūsā b. Mihrān al-Aṣbahānī (d. 430 AH),أبو نعيم أحمد بن عبد الله بن أحمد بن إسحاق بن موسى بن مهران الأصبهاني (ت ٤٣٠هـ),Abū Nuʿaym al-Iṣbahānī,أبو نعيم الأصبهاني,430,-,-,-
240,Abū ʿAbd Allāh Muḥammad b. Salāma b. Jaʿfar b. ʿAlī b. Ḥakmūn al-Qaḍāʿī al-Miṣrī (d. 454 AH),أبو عبد الله محمد بن سلامة بن جعفر بن علي بن حكمون القضاعي المصري (ت ٤٥٤هـ),al-Quḍāʿī,القضاعي,454,-,-,-
241,Abū Ṭāhir al-Silafī Aḥmad b. Muḥammad b. Aḥmad b. Muḥammad b. Ibrāhīm al-Silafī al-Aṣbahānī (d. 576 AH),أبو طاهر السِّلَفي أحمد بن محمد بن أحمد بن محمد بن إبراهيم سِلَفَه السِّلَفي الأصبهاني (ت ٥٧٦هـ),Abū Ṭāhir al-Salafī,أبو طاهر السلفي,576,-,-,-
243,Abū ʿAbd Allāh Muḥammad b. Isḥāq b. Muḥammad b. Yaḥyā b. Mandah al-ʿAbdī (d. 395 AH),أبو عبد الله محمد بن إسحاق بن محمد بن يحيى بن مَنْدَه العبدي (ت ٣٩٥ هـ),Ibn Manda Muḥammad b. Isḥāq,ابن منده محمد بن إسحاق,395,-,-,-
244,ʿIzz al-Dīn Abū al-Ḥasan ʿAlī b. Muḥammad b. ʿAbd al-Karīm al-Jazarī known as Ibn al-Athīr (d. 630 AH),عز الدين أبو الحسن علي بن محمد بن عبد الكريم الجزري المعروف بابن الأثير (ت ٦٣٠ هـ),ʿIzz al-Dīn b. al-Athīr,عز الدين ابن الأثير,630,-,-,-
246,Abū Bakr Aḥmad b. ʿAlī b. Thābit b. Aḥmad b. Mahdī al-Khaṭīb al-Baghdādī (d. 463 AH),أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي (ت ٤٦٣هـ),al-Khaṭīb al-Baghdādī,الخطيب البغدادي,463,-,-,-
247,Abū al-Ḥasan Khaythama b. Sulaymān b. Ḥaydara b. Sulaymān al-Qurashī al-Shāmī al-Aṭrābulsī (d. 343 AH),أبو الحسن خيثمة بن سليمان بن حيدرة بن سليمان القرشي الشامي الأطرابلسي (ت ٣٤٣هـ),Khaythama b. Sulaymān al-Aṭrābulusī,خيثمة بن سليمان الأطرابلسي,343,-,-,-
249,Abū Muḥammad ʿAbd Allāh b. Muslim b. Qutayba al-Dīnawarī (d. 276 AH),أبو محمد عبد الله بن مسلم بن قتيبة الدينوري (ت ٢٧٦هـ),Ibn Qutayba,ابن قتيبة,276,-,-,-
252,Zayn al-Dīn ʿAbd al-Raḥīm b. al-Ḥusayn al-ʿIrāqī (d. 806 AH),زين الدين عبد الرحيم بن الحسين العراقي (ت ٨٠٦ هـ),al-ʿIrāqī,العراقي,806,-,-,-
253,"Walī al-Dīn, Abū Zurʿa, Aḥmad b. ʿAbd al-Raḥīm b. al-Ḥusayn, Ibn al-ʿIrāqī (762 AH)","ولى الدين، أبو زرعة، أحمد بن عبد الرحيم بن الحسين، ابن العراقي (٧٦٢",Ibn al-ʿIrāqī,ابن العراقي,826,-,-,-
254,"ʿAbd al-Ghanī b. ʿAbd al-Wāḥid b. ʿAlī b. Sarūr al-Maqdisī al-Jamāʿīlī al-Dimashqī al-Ḥanbalī, Abū Muḥammad, Taqī al-Dīn (d. 600 AH)","عبد الغني بن عبد الواحد بن علي بن سرور المقدسي الجماعيلي الدمشقي الحنبلي، أبو محمد، تقي الدين (ت ٦٠٠هـ)",ʿAbd al-Ghanī al-Maqdisī,عبد الغني المقدسي,600,-,-,-
256,The author of Akhbār al-Dawla al-ʿAbbāsiyya,مؤلف أخبار الدولة العباسية,Muʾallif Akhbār al-Dawla al-ʿAbbāsiyya,مؤلف أخبار الدولة العباسية,250,-,-,-
257,"Muḥammad b. Khalaf b. al-Marzubān b. Bassām, Abū Bakr al-Maḥūlī (d. 309 AH)","محمد بن خلف بن المرزبان بن بسام، أبو بكر المحولي (ت ٣٠٩هـ)",Ibn al-Marzubān al-Muḥawwalī,ابن المرزبان المحولي,309,-,-,-
260,Nūr al-Dīn al-Haythamī (735 AH),نور الدين الهيثمي (٧٣٥,Nūr al-Dīn al-Haythamī,نور الدين الهيثمي,360,-,-,-
262,Abū Bakr Jaʿfar b. Muḥammad b. al-Ḥasan b. al-Mustafaḍ al-Firyābī (d. 301 AH),أبو بكر جعفر بن محمد بن الحسن بن المُسْتَفاض الفِرْيابِي (ت ٣٠١ هـ),al-Firyābī,الفريابي,301,-,-,-
264,Abū Bakr Muḥammad b. al-Ḥusayn b. ʿAbd Allāh al-Ājurī al-Baghdādī (d. 360 AH),أبو بكر محمد بن الحسين بن عبد الله الآجُرِّيُّ البغدادي (ت ٣٦٠هـ),al-Ājurrī,الآجري,360,-,-,-
265,"Abū Muḥammad ʿAbd Allāh b. Muḥammad b. Jaʿfar b. Ḥayyān al-Anṣārī, known as Abū al-Shaykh al-Aṣbahānī (d. 369 AH)",أبو محمد عبد الله بن محمد بن جعفر بن حيان الأنصاري المعروف بأبِي الشيخ الأصبهاني (ت ٣٦٩هـ),Abū al-Shaykh al-Iṣbahānī,أبو الشيخ الأصبهاني,369,-,-,-
266,"Muḥammad b. al-Ḥusayn b. Muḥammad b. Mūsā b. Khālid b. Sālim al-Naysābūrī, Abū ʿAbd al-Raḥmān al-Sulamī (d. 412 AH)","محمد بن الحسين بن محمد بن موسى بن خالد بن سالم النيسابوري، أبو عبد الرحمن السلمي (ت ٤١٢هـ)",Abū ʿAbd al-Raḥmān al-Sulamī,أبو عبد الرحمن السلمي,412,-,-,-
267,Abū Isḥāq Ibrāhīm b. Isḥāq b. Ibrāhīm b. Bashīr al-Baghdādī al-Ḥarbī (d. 285 AH),أبو إسحاق إبراهيم بن إسحاق بن إبراهيم بن بشير البغدادي الحَرْبي (ت ٢٨٥هـ),Ibrāhīm al-Ḥarbī,إبراهيم الحربي,285,-,-,-
269,Abū al-Faraj al-Ḥusayn b. ʿAlī b. ʿUbayd Allāh al-Ṭanājīrī (d. 439 AH),أبو الفرج الحسين بن على بن عبيد الله الطناجيري المتوفى: ٤٣٩ هـ,"Ibn Bishrān, Abū al-Qāsim","ابن بشران، أبو القاسم",430,-,-,-
272,Abū ʿAbd Allāh al-Baghdādī al-Ḥusayn b. Ismāʿīl b. Muḥammad b. Ismāʿīl b. Saʿīd b. Abān al-Ḍubī al-Muḥāmilī (d. 330 AH),أبو عبد الله البغدادي الحسين بن إسماعيل بن محمد بن إسماعيل بن سعيد بن أبان الضبي المحاملي (ت ٣٣٠هـ),al-Maḥāmilī,المحاملي,330,-,-,-
273,"Abū Bakr ʿAbd Allāh b. Muḥammad b. ʿUbayd b. Sufyān b. Qays al-Baghdādī al-Umawī al-Qurashī, known as Ibn Abī al-Dunyā (d. 281 AH)",أبو بكر عبد الله بن محمد بن عبيد بن سفيان بن قيس البغدادي الأموي القرشي المعروف بابن أبي الدنيا (ت ٢٨١هـ),Ibn Abī al-Dunyā,ابن أبي الدنيا,281,-,-,-
275,Muḥammad b. Jaʿfar b. Muḥammad b. Sahl b. Shākir al-Khurrāṭī al-Sāmirī (240 AH),محمد بن جعفر بن محمد بن سهل بن شاكر الخرائطي السامري (٢٤٠,al-Kharāʾiṭī,الخرائطي,327,-,-,-
277,Abū ʿAbd Allāh Muḥammad b. al-Ḥasan al-Shaybānī (d. 189 AH),أبو عبد الله محمد بن الحسن الشيباني (ت ١٨٩ هـ),Muḥammad b. al-Ḥasan al-Shaybānī,محمد بن الحسن الشيباني,189,-,-,-
281,"Abū Yaʿlā al-Khalīlī, Khalīl b. ʿAbd Allāh b. Aḥmad b. Ibrāhīm b. al-Khalīl al-Qazwīnī (d. 446 AH)","أبو يعلى الخليلي، خليل بن عبد الله بن أحمد بن إبراهيم بن الخليل القزويني (ت ٤٤٦هـ)",Abū Yaʿlā al-Khalīlī,أبو يعلى الخليلي,446,-,-,-
282,Abū Muḥammad al-Ḥasan b. ʿAlī b. ʿAffān al-Kūfī al-ʿĀmirī (d. 270 AH),أبو محمد الحسن بن علي بن عفان الكوفي العامري (ت ٢٧٠هـ),al-Ḥasan b. ʿAlī b. ʿAffān,الحسن بن علي بن عفان,270,-,-,-
283,Abū Muḥammad al-Ḥasan b. ʿAbd al-Raḥmān b. Khallād al-Rāmhurmuzī al-Fārisī (d. 360 AH),أبو محمد الحسن بن عبد الرحمن بن خلاد الرامهرمزي الفارسي (ت ٣٦٠ هـ),al-Rāmahurmuzī,الرامهرمزي,360,-,-,-
284,Abū Bakr Aḥmad b. Muḥammad b. Hārūn b. Yazīd al-Khallāl al-Baghdādī al-Ḥanbalī (d. 311 AH),أبو بكر أحمد بن محمد بن هارون بن يزيد الخَلَّال البغدادي الحنبلي (ت ٣١١هـ),Abū Bakr al-Khallāl,أبو بكر الخلال,311,-,-,-
286,Muḥammad b. Ibrāhīm b. al-Mundhir al-Naysābūrī,محمد بن إبراهيم بن المنذر النيسابوري,Ibn al-Mundhir,ابن المنذر,319,-,-,-
287,Abū Muḥammad ʿAbd al-Ghanī b. Saʿīd b. ʿAlī b. Bishr b. Marwān al-Azdī al-Miṣrī (d. 409 AH),أبو محمد عبد الغني بن سعيد بن علي بن بشر بن مروان الأزدي المصري (ت ٤٠٩هـ),ʿAbd al-Ghanī b. Saʿīd al-Azdī,عبد الغني بن سعيد الأزدي,409,-,-,-
288,Abū ʿAbd Allāh Muḥammad b. Yaḥyā Ibn Abī ʿUmar al-ʿAdanī (d. 243 AH),أبو عبد الله محمد بن يحيى ابن أبي عمر العدني (ت ٢٤٣هـ),al-ʿAdanī,العدني,243,-,-,-
289,"Abū Bakr Aḥmad b. ʿAmr b. ʿAbd al-Khāliq b. Khallād b. ʿUbayd Allāh al-ʿAtkī, known as al-Bazzār (d. 292 AH)",أبو بكر أحمد بن عمرو بن عبد الخالق بن خلاد بن عبيد الله العتكي المعروف بالبزار (ت ٢٩٢ هـ),Abū Bakr al-Bazzār,أبو بكر البزار,292,-,-,-
293,Abū Ḥafṣ ʿUmar b. Aḥmad b. ʿUthmān b. Aḥmad b. Muḥammad b. Ayyūb b. Azdādh al-Baghdādī known as Ibn Shāhīn (d. 385 AH),أبو حفص عمر بن أحمد بن عثمان بن أحمد بن محمد بن أيوب بن أزداذ البغدادي المعروف بـ ابن شاهين (ت ٣٨٥هـ),Ibn Shāhīn,ابن شاهين,385,-,-,-
294,Saʿīd b. Manṣūr (d. 227 AH),سعيد بن منصور (ت ٢٢٧ هـ),Saʿīd b. Manṣūr,سعيد بن منصور,227,-,-,-
295,"ʿAbd Allāh b. Wahb b. Muslim al-Qurashī, Abū Muḥammad al-Miṣrī (d. 197 AH)","عبد الله بن وهب بن مسلم القرشي، أبو محمد المصري (ت ١٩٧ هـ)",Ibn Wahb,ابن وهب,197,-,-,-
296,Abū Bakr Aḥmad b. ʿAlī b. Saʿīd b. Ibrāhīm al-Umawī al-Marwazī (d. 292 AH),أبو بكر أحمد بن علي بن سعيد بن إبراهيم الأموي المروزي (ت ٢٩٢هـ),Abū Bakr al-Umawī al-Marwazī,أبو بكر الأموي المروزي,292,-,-,-
297,Abū ʿAbd al-Raḥmān Baqī b. Makhlad b. Yazīd al-Andalusī al-Qurṭubī (d. 276 AH),أبو عبد الرحمن بقي بن مخلد بن يزيد الأندلسي القرطبي (ت ٢٧٦هـ),Baqī b. Makhlad,بقي بن مخلد,276,-,-,-
300,Abū Bishr Muḥammad b. Aḥmad b. Ḥammād b. Saʿīd b. Muslim al-Anṣārī al-Dūlābī al-Rāzī (d. 310 AH),أبو بِشْر محمد بن أحمد بن حماد بن سعيد بن مسلم الأنصاري الدولابي الرازي (ت ٣١٠هـ),al-Dūlābī,الدولابي,310,-,-,-
301,"Abū Bakr Muḥammad b. Ibrāhīm b. ʿAlī b. ʿĀṣim b. Zādān al-Aṣbahānī al-Khāzin, known as Ibn al-Muqriʾ (d. 381 AH)","أبو بكر محمد بن إبراهيم بن علي بن عاصم بن زاذان الأصبهاني الخازن، المشهور بابن المقرئ (ت ٣٨١هـ)",Ibn al-Muqriʾ,ابن المقرئ,381,-,-,-
308,Muḥibb al-Dīn Aḥmad b. ʿAbd Allāh al-Ṭabarī (d. 694 AH),محب الدين أحمد بن عبد الله الطبري (ت ٦٩٤ هـ),"al-Ṭabarī, Muḥibb al-Dīn","الطبري، محب الدين",694,-,-,-
310,Abū ʿAbd Allāh Muḥammad b. Naṣr b. al-Ḥajjāj al-Marwazī (d. 294 AH),أبو عبد الله محمد بن نصر بن الحجاج المَرْوَزِي (ت ٢٩٤هـ),Muḥammad b. Naṣr al-Marwazī,محمد بن نصر المروزي,294,-,-,-
312,Abū Jaʿfar Muḥammad b. ʿAmr b. Mūsā b. Ḥammād al-ʿUqaylī al-Makkī (d. 322 AH),أبو جعفر محمد بن عمرو بن موسى بن حماد العقيلي المكي (ت ٣٢٢هـ),al-ʿUqaylī,العقيلي,322,-,-,-
313,"Abū Sulaymān Ḥamd b. Muḥammad b. Ibrāhīm al-Khaṭṭābī al-Bustī, known as al-Khaṭṭābī (d. 388 AH)",أبو سليمان حمد بن محمد بن إبراهيم بن الخطاب البستي المعروف بالخطابي (ت ٣٨٨هـ),al-Khaṭṭābī,الخطابي,388,-,-,-
315,"ʿAbd al-Raḥmān b. ʿAmr b. ʿAbd Allāh b. Ṣafwān al-Naṣrī, known as Abū Zurʿa al-Dimashqī, also titled Shaykh al-Shabāb (d. 281 AH)",عبد الرحمن بن عمرو بن عبد الله بن صفوان النصري المشهور بأبي زرعة الدمشقي الملقب بشيخ الشباب (ت ٢٨١هـ),Abū Zurʿa al-Dimashqī,أبو زرعة الدمشقي,281,-,-,-
320,"Abū ʿAbd Allāh Muḥammad b. Abī al-Fayḍ Jaʿfar b. Idrīs al-Ḥasanī al-Idrīsī, known as al-Kattānī (d. 1345 AH)",أبو عبد الله محمد بن أبي الفيض جعفر بن إدريس الحسني الإدريسي الشهير بـ الكتاني (ت ١٣٤٥هـ),Muḥammad b. Jaʿfar al-Kattānī,محمد بن جعفر الكتاني,1345,-,-,-
327,"Muḥammad ʿAbd al-Ḥayy b. ʿAbd al-Kabīr Ibn Muḥammad al-Ḥasanī al-Idrīsī, known as ʿAbd al-Ḥayy al-Kattānī (d. 1382 AH)","محمد عَبْد الحَيّ بن عبد الكبير ابن محمد الحسني الإدريسي، المعروف بعبد الحي الكتاني (ت ١٣٨٢هـ)","al-Kattānī, ʿAbd al-Ḥayy","الكتاني، عبد الحي",1382,-,-,-
328,Jamāl al-Dīn Abū al-Ḥajjāj Yūsuf b. ʿAbd al-Raḥmān al-Mizzī (d. 742 AH),جمال الدين أبو الحجاج يوسف بن عبد الرحمن المزي (ت ٧٤٢هـ),"al-Mizzī, Jamāl al-Dīn","المزي، جمال الدين",742,-,-,-
329,Yūsuf b. Ilyān b. Mūsā Sarkīs (d. 1351 AH),يوسف بن إليان بن موسى سركيس (ت ١٣٥١هـ),Ilyān Sarkīs,اليان سركيس,1351,-,-,-
330,Abū al-Ṭayyib Muḥammad Ṣiddīq Khān b. Ḥasan b. ʿAlī Ibn Luṭf Allāh al-Ḥusaynī al-Bukhārī al-Qinnawjī (d. 1307 AH),أبو الطيب محمد صديق خان بن حسن بن علي ابن لطف الله الحسيني البخاري القِنَّوجي (ت ١٣٠٧هـ),Ṣiddīq Ḥasan Khān,صديق حسن خان,1307,-,-,-
334,ʿAlī b. Ẓāfir al-Azdī al-Miṣrī (d. 613 AH),علي بن ظافر الأزدي المصري (ت ٦١٣هـ),Ibn Ẓāfir al-Azdī,ابن ظافر الأزدي,613,-,-,-
336,Abū al-Walīd Muḥammad b. Rushd al-Ḥafīd (d. 595 AH),أبو الوليد محمد بن رشد الحفيد (ت ٥٩٥ هـ),Ibn Rushd al-Ḥafīd,ابن رشد الحفيد,595,-,-,-
337,Abū Rayḥān Muḥammad b. Aḥmad al-Bīrūnī al-Khwārizmī (d. 440 AH),أبو الريحان محمد بن أحمد البيروني الخوارزمي (ت ٤٤٠هـ),al-Bīrūnī,البيروني,440,-,-,-
348,Abū Hilāl al-Ḥasan b. ʿAbd Allāh b. Sahl b. Saʿīd b. Yaḥyā b. Mihrān al-ʿAskarī (d. circa 395 AH),أبو هلال الحسن بن عبد الله بن سهل بن سعيد بن يحيى بن مهران العسكري (ت نحو ٣٩٥هـ),Abū Hilāl al-ʿAskarī,أبو هلال العسكري,395,-,-,-
350,Bahāʾ al-Dīn b. ʿAqīl,بهاء الدين بن عقيل,Ibn ʿAqīl,ابن عقيل,769,-,-,-
353,Muḥammad Rawās Qalʿajī,محمد رواس قلعجي,Muḥammad Rawwās Qalʿajī,محمد رواس قلعجي,1435,-,-,-
356,Aḥmad b. Yaḥyā known as al-Balādhurī,أحمد بن يحيى المعروف بـ البَلَاذُري,al-Balādhurī,البلاذري,279,-,-,-
358,"Yūsuf b. Ḥasan b. Aḥmad b. Ḥasan Ibn ʿAbd al-Hādī al-Ṣāliḥī, Jamāl al-Dīn, Ibn al-Mibrad al-Ḥanbalī (d. 909 AH)","يوسف بن حسن بن أحمد بن حسن ابن عبد الهادي الصالحي، جمال الدين، ابن ابن المِبْرَد الحنبلي (ت ٩٠٩هـ)",Ibn al-Mubarrad,ابن المبرد,909,-,-,-
361,Burhān al-Dīn al-Ḥalabī Abū al-Wafāʾ Ibrāhīm b. Muḥammad b. Khalīl al-Ṭarābulusī al-Shāfiʿī Sibṭ Ibn al-ʿAjamī (d. 841 AH),برهان الدين الحلبي أبو الوفا إبراهيم بن محمد بن خليل الطرابلسي الشافعي سبط ابن العجمي (ت ٨٤١هـ),al-Burhān al-Ḥalabī,البرهان الحلبي,841,-,-,-
362,Shams al-Dīn Abū ʿAbd Allāh Muḥammad b. Aḥmad b. ʿUthmān al-Dhahabī (d. 748 AH),شمس الدين أبو عبد الله محمد بن أحمد بن عثمان الذهبي (ت ٧٤٨ هـ),Shams al-Dīn al-Dhahabī,شمس الدين الذهبي,748,-,-,-
365,Abū Muḥammad Daʿlaj b. Aḥmad b. Daʿlaj b. ʿAbd al-Raḥmān al-Sijistānī (d. 351 AH),أبو محمد دَعْلَج بن أحمد بن دَعْلَج بن عبد الرحمن السجستاني (ت ٣٥١هـ),Daʿlaj al-Sijzī,دعلج السجزي,351,-,-,-
370,Abū Aḥmad Muḥammad b. Aḥmad b. Ḥusayn b. al-Qāsim b. al-Sarī b. al-Ghutrīf b. al-Jahm al-ʿAbdī al-Ghutrīfī al-Jurjānī (d. 377 AH),أبو أحمد محمد بن أحمد بن حسين بن القاسم بن السري بن الغِطْريف بن الجهم العَبْدي الغِطْريفي الجرجاني (ت ٣٧٧هـ),Ibn al-Ghaṭrīf,ابن الغطريف,377,-,-,-
